@RELATION Twitter-Messages

@ATTRIBUTE text STRING
@ATTRIBUTE @@class@@ {anger, no_anger}

@DATA
'ok nevermind photo was set to private sorry',no_anger
'An extra night in pasadena with sergi baby cuz i missed my train to riverside',anger
'long nem page from MENTION intraday trading for dummies book',anger
'MENTION i like OGBERRY',no_anger
'i blame you all  got it good p she better be in good condition 2 33 night',anger
'in a bad mood now  annoying when its sunny',anger
'And my basketball is flat and there was a massive spider in my pavement chalks  Now the sun has gone in FML',anger
'MENTION at least its legal  here in kuwait if u werent driving SUV then u will get a ticket with big smile',anger
'I hate horrible atmospheres I pick them up so quick  kisskiss xxxxxxxxxx',anger
'MENTION Im just sick of stupid guys but for a moment u make me believe not all of them suck then I get back to reality',no_anger
'Got tired of the kitchen being uninhabital so swept and mopped the floor when its dry Ill do the work tops',anger
'Im being a lazy bumboo for jack he always works on fridays',no_anger
'I hate going to the dr  just wasted 1 hour and a half for them to say my back pain is probly depression or stress Duhh I need it fixed',anger
'MENTION pshdidnt even pay for me though',no_anger
'MENTION  it sucks big time I am in Sheffield till Sunday I dont think I can pretend to be happy and smiley anymore',anger
'i wanna go out',no_anger
'MENTION good god woman Get some sleep Ill calltext when Im in the city',no_anger
'1 week before the palm pre comes out and my centro dies I have a temp phone but my contacts arent transfered yet sadpanda fb',anger
'MENTION  I Hate It There Should Be A Endless Supply Of Hot Water  I Put the Water Heater On 20mins Ago So Ill Be Gone In 10mins  Xx',anger
'MENTION oh I meant how to put stuff into formatting and in what order It was early in the morning okay',no_anger
'had a 100 raw day',anger
'MENTION damn You could have just called or told me in person You didnt have to humiliate me in front of the whole twitterverse',anger
'Exhausted after coming home from a swim this morning Its more tiring than I remember HAPPY MOTHERS DAY',no_anger
'MENTION I dont like fishfingers I dont like fish or seafood really But enjoy it',anger
'I dont want Warren to die Hes an awesome character  I hate Clare she should fucking die once and for all',no_anger
'MENTION seriously technology isnt always my friend Nothing like doing double research',no_anger
'MENTION thanks gail  imma try this one day looks yummy geezzz after my siargao trip nlng pla heheh',no_anger
'Sitting in Mrs Martins class youtube is being stupid and i REALLY want a popsicle jealous of Sara',anger
'Not a bad back 43 Piss poor front tho 90 still unbroken',anger
'Twenty minutes on a fucking call you would think that the person would mention there is already a trouble ticket investigating the issue',anger
'MENTION si de cand ai twtad',no_anger
'has not finished the bio mols mind map  stupid sheet hid sections from me on the back',anger
'Very bad thingsI need to stop thinking',anger
'Sunrise by Blvd East is awesome Now to get some sleep YAY',no_anger
'wishes all you moms a happy  blessed Mothers Day',no_anger
'MENTION  Congratulationskeep us posted on how things go',no_anger
'MENTION Tat PsP Its ma fathers name Hw did it end up in ma userid Long story  vishnupsp is ma user id for almost all sites',no_anger
'MENTION Oh I forgot to say if u want anymore friends on xbox send me a friend request G11Y if u want a friendly game sometime',no_anger
'MENTION You too Rus',no_anger
'Off to guitar now I almost said swim Phew',no_anger
'When r these DAMN exams ever gone b over and done with  i wanna b out in the sun',anger
'MENTION hi on twitterLOLi dont use it very much its confusing sometimes but yay7 more days bubbleeeek  xx',no_anger
'MENTION I kno I kknow  sigh been on but it sux',anger
'Just dropped my sistah off  lax    fb',anger
'So bored in chem n im super hungry Ugh',anger
'So I got the day off cuz I had hundreds of things to dothen I woke up with a fckin migranethere goes my day in bed',anger
'both electronic keys stopped working there is no keyhole cant get in my car so much for technology',anger
MENTION,no_anger
'Back with a great time spent with my cousinstechnically uncles and auntsalso had an icecreamit dint taste that good',no_anger
'MENTION I listen to it alot at work  Damn good show',no_anger
'is somewhat irritated by people coming up to me and asking if Im so and so from TV or that I look familiar I thought I was original',anger
'Almost ready for new Beta until we found a showstopping bug   Please standby',no_anger
'MENTION  haha you do that mate  btw have you seen a film called american history x starring edward norton',no_anger
'bah i h8 waking up',anger
'MENTION  It is so unfair Hustlaball US citizens working here Personal Appearances Expectations Prowler can I do that there',anger
'MENTION turn on your closed caption  Then you can read and watch animal planet at the same tiime',no_anger
'Just when I thought albany couldnt any worse my aos leave me',anger
'is seventeen today  and is trekking from chorleywood to see MENTION MENTION MENTION and MENTION in cambridge  3',no_anger
'MENTION Thanks  Ill explain on msn or something p and I HATE SPIDERS TOO What happened one attacked you xD',anger
'No rosie day today  goal is to leav my house b4 my mom gets here hmmm maybe rosie day rescheduled forwed',no_anger
'Its so annoying when I want to go see The Sats MENTION and MENTION in concertbut I know ILL Have to pay',anger
'MENTION Ooo you is back  Good time and argh It hurtssssssssssssssssssssssssssssssssss  Xx Hate headaches',anger
'how to get rid of your followers step 1 announce that youre unfollowing people who give you the shits everyone assumes you mean THEM',anger
'is excited for tonights party of ron  URL',no_anger
'URL  haha I love it',no_anger
'Nic has no idea what hes going to do  money is all gone',no_anger
MENTION,no_anger
'MENTION i love you  too',no_anger
'ok ok ok yall do me 1 more favor plz follow MENTION   ill owe u lol',no_anger
'its raining boo',anger
'Ugh Why isnt inFamous on xbox360 Fucking lame Its only on PS3',anger
'MENTION UGH I HATE QUEUEING',anger
'MENTION What can you say about JaykIm pretty pissed at pretty much everything right now',anger
'ummm no it didnt work so i guess im stuck with this uglyonee',anger
'I hate watching the News Why do such awful things happen',anger
'MENTION Take that back I am insulted',anger
'Just found out my parents are putting down my dog tomorrow morning Upset',no_anger
'Using a temporary mouse since my trackball is breaking down I can feel the RSI crawling up my wrist already',anger
'Really 87 degrees as the high and Im on my way to work  hagg lake tomorrow is going to be especially bomb sauce',anger
'MENTION ok2  gnyt Haha too early',no_anger
'My flip flop just brokewalking in downtown seattle',no_anger
'Hey there Its a glorious morning Mondays animation mode ON',no_anger
'MENTION MENTION I dont have a subject line on my phone  just normal texts',no_anger
'SYTYCD  I wished they kept the 17 yo kid  he would have been good eye candy on the show and he was really good  cant wait',no_anger
'MENTION Yea its nice But im only here for a weekend',no_anger
'MENTION Were off  Im sorry Parents coming in around 1011 gonna eat with them then househunt in Richardson RAAAAIN CHEEECK',anger
'MENTION It tells me Im not a member of the private beta  and Im not going to just start pretending to assassinate people',anger
'dont want to go',anger
'Its patio weather in Kirkland  Its also launchyerboat weather except Im missing the boat part',no_anger
'nothing right now to do',no_anger
'Well off the clock twitter friends Sidenote I hate commuting in heavy rain',no_anger
'MENTION ohhh ok so like its more frustrating I had my hands on a 3g iphone last week but it was upgraded so i couldnt unlock it',no_anger
'MENTION one day the hubs and I WILL take one of those Theres actually a missions cruise that we want to go on It has music too',no_anger
'My children have promised me birthday brekkie in bed Theres a problem with that in that theres bugger all food in the house',no_anger
'I HATE FLORISTS  No rose for cassadee tomorrow now  fricken fag florist people  hmmneed something elsehmm',anger
'MENTION dont feel too bad i just had a burrito from there and it kinda sucked',anger
'MENTION Actually because of the several updates you have daily I find them all interesting and informative Keep posting',no_anger
'The trains turned into a microwave',anger
'I remember when Vanessa first stepped on to the scene She would give it up to the paps  Now shes 2 famous I guess Use us abuse us',anger
'wakey wakey lemon shakeyyyy  haha goin 2 schooliooo  its raining ugh guess where I WISH I CAN BE RIGHT NOWCaLiFoRNiA',anger
'MENTION I want to hit that',anger
'im grounded tonight  i hate stupid silent mode',anger
'MENTION Im SO jealous its pouring right now',anger
'i am seriously addicted to talking to people haha but i love it so i dont care and you cant tell me otherwise jerk',no_anger
'MENTION nope  dont you think its a crime',anger
'stupid HIP I hate you And I cant even break in my new kicks  GRRRR',anger
'just got a wii',no_anger
'MENTION rubbish',anger
'Ugh I hate bad grades 1st time Ive ever failed a class and no As B B D W I I Not like me at all',anger
'MENTION Hey whats up My name is Caleb and Im your newest follower',no_anger
'cant wait to eat',anger
'the weekend is about to begin Got an idea for a project that I think would be cool  just not sure Ive got the time for it right now',no_anger
'MENTION aw that sucks',anger
'Good Morning Twitts Another GloOmy day in NYC',no_anger
'Off to have a sumptuous Mexican meal',no_anger
'MENTION just the mere fact that you twittered and someone read it then it matters ps love your song Gravity',no_anger
'my sister is a douchebag',anger
'On my way 2 work damn sinus headaches suck',anger
'wish i was 17 again',no_anger
'I hate crowds   URL',anger
'Just here at workjust got out of a meeting with my staff I had to be the big bad boss today',anger
'Dear rain you suck Now I gotta change my plans for tonight',no_anger
'I hate this weather  i wanna bake',anger
'One downside of the nice weather It brings of the chavs',no_anger
'I hate mondays but I love MENTION schedule HELLO DIGG REEL',anger
'MENTION oh no    i wish i could lay out in the sun  i have no gardenLOL',no_anger
'MENTION reeeaaaally why though  ew i hate stockings',no_anger
'last drops of the thesis God let it end today',no_anger
'is having a lazy sunday',no_anger
'MENTION I will be ok when I have been to the drs again today and got my essay done  x howre you x',anger
'MENTION URL  haha wish i could call but i cant talk cause im sick and i lost my voice',no_anger
'I took her cracker now she doesnt love me',no_anger
'I miss my water cuz my well went dry',no_anger
'The only way Ill feel safe is when hes finally in jail where his stalker ass belongs',anger
'MENTION phone updated and shes got a camcorder on her phone nowmine hasnt updated chit  that aint fair',no_anger
'says BAD TRIP angry  URL',anger
'Off To The Movies With Abby Who I Have Not Seen In FOREVER To See Star Trek L8er Twitter Folk',no_anger
'Redford  Sufjan Stevens  for MENTION ill make you cry again 3 MENTION sure no prob slugger  add th  URL5jdtm',anger
'MENTION Tom your FB link isnt working',no_anger
'Kyles going out of town this weekend  play time wif my fwiends Rawrrr',anger
'MENTION and staff rooms It will be intersting to see how K12 faces this when every kid has a laptop',no_anger
'While driving u come across aggressive driving behaviour by another driver U should Chase the car 2 tell the driver how to drive',anger
'MENTION How could you go to Cali without me Im sad',no_anger
'MENTION ill teleport it straight to you',no_anger
'I had a new work picture taken today hated it it looks too much like me URL',anger
'Taking the caltrain to go see the giants Its Cold and someone smells like pee',anger
'i hate the busany donations toward my car fund',anger
'You better come here by the time I count to 10 or else 1 2 3  BAM',no_anger
'MENTION lol Ive just realised that ive been sending messages that were meant to be to you to a page that doesnt exist',no_anger
'MENTION pure twittering my friends  hes a pure nymph or summmit Im FANTABULOUS miss yeees guys',anger
'just fought with my printerafter 2 hours i claim victory i hate electronics',anger
'i dont wanna go back to school on monday',anger
'I am slowly getting angry at this Jon and Kate Plus 8 thing',anger
'MENTION and Boat is dining Bones in Peru  double',no_anger
'MENTION TestFest was weer een groot succes',no_anger
'6moredays6moredays yayyay taken is nearly finished  better be good',no_anger
'MENTION oh wait your in Greece Im in the US of course you think differently',no_anger
'lost all my files since high school',anger
'in the mailbox already for 2 hours',anger
'Shoot are we all done with the mustard jokes now',anger
'MENTION Whats sad is that I actually had to google that term That sucks tho',anger
'just finished playing mahjong I lost 38 to Mag and Weisheng',anger
'Im SAD SAD SAD thought my aunty Stina coming but no more  i was so looking forward to having familyi miss dat im alone on maui',no_anger
'MENTION yeah that sounds more sensible thought you had a heston bleumenthal moment of genius somehow',no_anger
'EFF THAT NOISE',anger
'Nearly ran over a pheasant on the driving lesson  Baws',no_anger
'MENTION Congrats Sarah thats awsum',no_anger
'Aaaaaaaa I hate fucking winshit',no_anger
'Awww NOOO not my Venus        Will redemption come in doubles',no_anger
'MENTION me too',no_anger
'MENTION URL  omgssh  ang cute ng bby',no_anger
'just typing this message',no_anger
'MENTION Maybe u have natural ability for languages  I envy u on that',no_anger
'I HAVE NEW WORK COMING OUT',no_anger
'MENTION Miles from you   Im in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers',no_anger
'hmz second most popular page on this governmental site is the 404 page fail',anger
'MENTION  Where I live all the small markets deliver their dayold bread to the food bank but times are really tough even for me',anger
'MENTION Same  also trying to get my house ready to sell I cant believe how much crap I own',no_anger
'God is a huge teaser',anger
'On way to exam very very nervous  bah',anger
'MENTION  The Wilshire  it is where I stayed last year too',no_anger
'MENTION Namaskar  Namaste r both the same Marathi people say Namaskar its a marathi word should i  naaaah',anger
'Sadly I know a lot of women who like this song   URL7a73f',no_anger
'MENTION No idea',no_anger
'hates this weather',anger
'Going crazy  super head ach from hell and my the in laws have ben here since 9 this morning ahhhh',no_anger
'Mad tht I didnt make time to hang out with a friend but I already pinky promised tht I will clear my calendar tomorrow',anger
'MENTION lol you mite be able to see them on facebook if you have it and if you add me Obviously I cant post them on my blog',no_anger
'Postcrash Spotlight is now spinning its wheels indexing my Time Machine backup drive Naturally the drive is in the do not index list',no_anger
'Im on my way to brookings',no_anger
'Thank god camera fixed itself I want a new ipod',no_anger
'MENTION oo noo thats not good',no_anger
'MENTION Heyy my teddy bear says i look very pretty and that Blake is to',no_anger
'MENTION no worries',no_anger
'MENTION never noticed that before but youre right guess thats because my heart is always dreaming of travel',no_anger
'Just rang the irish one Drunk Must confiscate phone  hate him lots',anger
'MENTION waves not quite some of us are still lounging around   How are you this morning',no_anger
'MENTION i know fuck my dick  i really wanted to go but i have to go to some fucking puertorican wedding damn spanish',anger
'Infamous should have arrived today But it didnt',anger
'MENTION now thats an imtetsting visual',no_anger
'MENTION and of course it happens on the day I got a carwash',no_anger
'MENTION opps try that again the keyboard is all back to front  Mac to PC and back madness really Chef',no_anger
'No gas PLUS no money  Desperation   and thats the word of the day  URL',anger
'MENTION i had terrible trouble with sp words as a child would drop the s pider pade etc needed lessons bad memories',anger
'Talking to amber showtime baby',no_anger
'MENTION sikkkeee I getting bose headphones for 1 today',no_anger
'Where is Teng',no_anger
'Dammit more money to spend on iPhone apps havent finished Wolfenstein yet  URL',anger
'Picked up a Jesse LaceyKevin DevineGrace Read bootleg off the net from their acoustic tour its really good',no_anger
'Just took my IC photolooks good   URL',no_anger
'MENTION Yes they can but the selection is arbitrarily and severely limited because of nonstandardized copyright laws',anger
'here comes the stormackkkk',no_anger
'MENTION hiwanna see 17 again again with me  ill fly to cali and see it with you',no_anger
'MENTION  Kirby playing mario kart  Umm  Donut Are you sure youre in the right mindset',anger
'MENTION ive heard that ST isnt true imax shot at 1828x1556 and blown up to 4096 still nice big screen',no_anger
'drinking lemsip cause apaently i need ittt IM NOT SICK',no_anger
'Happy mothers day  Im so hungry and the resturants are all closed Damn',anger
'Mattcuttscom Domain Umzug und neues Design URL',no_anger
'Google Wave looks cool I should be working for these guys I came up with some of these ideas years ago  URL',no_anger
'thingsmummysaid my mummy told me she never wnted to be my mummy ever again  so i live wid my dad i think  it all confusing',anger
'MENTION She should keep her crown and shut her mouth   Then shell know what nonjudgmental means',anger
'MENTION though I have to admit that seems less  less tempting who has time when there are more complete packages to be had',anger
'MENTION im so pissed i couldnt make an instore at hot topic in the rockaway mall to see MENTION  haha no he wont',no_anger
'MENTION oh get well soon Alexa take some rest',no_anger
'I hate that you cant edit looseinthetweetisphere tweets as you always notice spelling mistakes a millisecond after clicking update',anger
'MENTION hopefully it dont go that far  sometimes I feel like renouncing my roots',anger
'yay just got my stuff from rygegrejdk  Perfect tastes like banana and apple',no_anger
'Changed my hairstylebut it isnt good as it supposed to beN I dont think it worthed that much money  hate that hairdresser',anger
'MENTION i wish i could find my camera cause i really wanna record some too',no_anger
'MENTION heh you seem to have a complex about your iPhone jealousy This selfdenial is harmful Just let it out',anger
'i dont know',anger
'wow someones proud of me',no_anger
'had a kickass day full of Seaworld retarded 15 year old guys and XMen Origins Win day',anger
'Has so much to blog but has no time to',no_anger
'Omg i just seen the sun and the moon in the same place  this disproves my theory that they are the same person',no_anger
'MENTION Those suck so bad',anger
'MENTION Told you that when you got rid of the last one Did you listen',anger
'just got back home bored now',anger
'I am native not french  I hate this     Trying to find animals in french I SUCK SOMEONE HELP PLEEEEEASE   Alone Allison Iraheta',anger
'i REALLY hope my parents dont make me stay home for being sick',no_anger
'Im giving up on you I dont care how you mess up your life now',anger
'MENTION kewl  standing by to be rocked',anger
'Im coming up with a new plan with my bestie Oh this one is gonna be great',no_anger
'dam just finished watching Prison Break the final breakomg i dont think ive cried so hard for a showFinally understand the finale',no_anger
'MENTION blerrrrrrrrrrgh im too hot and all sticky',no_anger
'MENTION I queue for cake standing up and with a slight look of deranged anticipation on my face',anger
'Finally back in bed with my puppies after a LONG week in Jamaica loved it but lve to be home too Night',no_anger
'I was waitin so many new and good songs about the end but I didnt like it so much',anger
'Musically these headphones are awesome For staying in my ear not so good',anger
'Jaydiohead No Karma  URL musicmonday This is not the android I was looking for But itll do',no_anger
'MENTION It depends if you are having fun or not',no_anger
'MENTION this traffic is ridiculous im may not make it',anger
'MENTION just trying to make you feel at home',no_anger
'English exam Bleh i hate vocab',anger
'MENTION I guess if you cant accept meill have to keep it movin',no_anger
'MENTION  o sweet i saw him last year with kenny  sugarland will be with kenny this year i have seen them b4 love them gknight',no_anger
'Off to my lil sisters  graduationthey grow up so quick',no_anger
'fevers down headache far worse bad enough that light or sound make me want 2 cry  new wretched neck pain im calling out to job2',no_anger
'ah my tummy hurts  damn starbucks sugarchocolatecaffeine',anger
'MENTION i hate this weather When u have lived here ure whole life u get used to itmay is always rainy MENTION',anger
'A movies worst fate used to be Straight to DVD Now it is Straight to DivX or Straight to Internet',no_anger
'Whoooooo Spcn 2009  ready to cheer for MENTION',no_anger
'Why dont adobe realise no one WANTS to pay for Photoshop et al so they should just give it to us for free',anger
'you think yo shit dont smell but you are mrs Pu Lil Wayne sounds the same in ALL his songs',anger
'MENTION  its awful Xxxx',anger
'Assembling figuring out this new alarm daddy gave me  SOOO loud  I think I blew out my ear drum',anger
'wants to goto lonovala for frenz weddingbtno transport arrngmnts wrkg out',no_anger
'MENTION  lol he does love spahkly gold things',no_anger
'MENTION That wouldnt have happened if Ravit hadnt asked me I met her thru a Twitter friend in CT Love social media that way',no_anger
'a bacon roll and a tea and the hackday is your friend  openhacklondon',no_anger
'cleaning my room',no_anger
'Sometimes black girls just piss me off like a mother fucker',anger
'woke up from bad dream  grrrr',anger
'FreeSats coverage Sky dish is really really bad at the moment blocks all over the place really annoying  URL',anger
'stuck here  Lady',anger
'MENTION thats no dream for me thats reality  CS4 is on my wishlist',no_anger
'Watching superbad with brit',no_anger
'MENTION Too bad were in Sweden where Up isnt up on the theaters  here until October',anger
'cant gauge the time of day in my office anymore Its worse than a friggin casino in here no waitresses smoking or booze',anger
'MENTION alives Less highness feeling Sometimes I hate that feelings Talking about an exhusband as if hes dead is funny',anger
'MENTION MENTION Txs so much for followfridayi have been so MIA recentlywork is killing me Hope you r doing funtastic',anger
'Hate I am going to miss the tweet up this weekend',anger
'Apperently ea knows my copy of the sims 3 is not legit and is upset',anger
'MENTION That sucks',anger
'MENTION Totally  plain and simple i hate all thoes bridezilla shows if i was the groom id be running far far away',anger
'Just realised i am a very angry person in georgia Too groggy and uncomfortable and i still havent driven',anger
'MENTION I accidentaly slammed my finger in the trunk',anger
'MENTION wow I love it  thanks',no_anger
'Strike one    Three and Im out',no_anger
'MENTION beer from japan  google it',no_anger
'41 Followers Random people but okay',no_anger
'Also I popped the phone open and got all that goddamn dust out but I wore out a clip on the camera panel so I had to glue it shut',no_anger
'Headin homeRefreshed my mind and soul justa lil bitBac to reality',no_anger
'Hey Lets Follow each other Wouldnt that just be awesome',no_anger
'Sighs well I accidentally clicked back space on my mouse',anger
'MENTION hahaha I wanted to eat that Chicken',no_anger
'I need a blackberry',no_anger
'MENTION dont tape hold slips to items  just ripped a digipack cd case',anger
'Currently uploading wordpress thisll give the new site a bit more fluidity than blogger does',no_anger
'Friday night and still workingoh waitits Saturday morning already',anger
'I hate the new mt dew commercialthe one with a giant mosquitoit scares me and grosses me out all at the same time',anger
'MENTION its not a starfleet one  its not even a romulin one  its like the random one i dont remember ha and you cant wear it lame',anger
'I hate my life',anger
'Im way to sleepy Ill watch my shows lataGood nite twitfam God blessXoXo',anger
'Facebook decided Im annoying or abusive because I add lots of friends At least I have no distractions from coursework now',anger
'MENTION Ok then have a good day',no_anger
'goooodnight everyone  and Happy Mothers Day to all the mothers out there',no_anger
'MENTION I hate you',anger
'MENTION oh damn that sucks',anger
'just waiting to get picked up at the train station by my bro and then off to the gym Cant believe I bumped someone last night',no_anger
'MENTION Im inclined to think its stupid',anger
'now cassidy is butcking that i am bitching lol cant ever win',anger
'hopes whoever stole my purse and money gets what is coming to them',anger
'MENTION awk thats shit  why isnt she coming',anger
'MENTION Ill be stuck inside the office all day today',no_anger
'Well its a good thing march wasnt very long and i didnt like itcuz its deleted Ugh',anger
'MENTION i wish i could go to both but i dont think ill be allowed p either way with two shows going your bound to get a ticket',no_anger
'VCenter is screwing up on me today  More specifically the MSSQL server that it connects to',no_anger
'Santana  Maria Maria The Wraith   URL7a10a',no_anger
'Everythings Sooo Messed Up Life Sucks',no_anger
'Ugh i hate photobucket an amazing place to edit pictures is wwwpicnikcom  i use it alll the time',anger
'i know i was wrong maybe i shouldnt did all of those fuckin things like that',anger
'okay I cant twitter anymore I have to study  ugh I HATE SCHOOL jk but I thoroughly dislike it',anger
'doesnt get to see her fav5 today like planned',no_anger
'And I want you to shut the fuck up I really hate living with my step dad  I cant wait to move out',anger
'MENTION I never liked that boy  Jerms',anger
'Gday Do you know if NHibernate has issues with COM Interop VB6  Net Wrapper  NetNHibernate dll Im getting crazy',anger
'This class is really long and Im really getting hungry',anger
'MENTION i dont know whats worse gs twittering or your muriel jms is the worst anyway',anger
'dont you hate it when you finish all your work and theres still 125 hours left of work time',no_anger
'Bank holiday  rain Superb But a great excuse not to start gardening in the jungle at the back of our house Eating it is then',no_anger
'MENTION Thanks for the recommendation',no_anger
'Im drawning in emails',anger
'I HATE when my alarm doesnt go off',no_anger
'Exam is commmmmiinnnnnggggggg',no_anger
'MENTION and MENTION Aww thank you  I love you girls333333',no_anger
'MENTION  yes she got all lovey with himhe returned the love1thing led2 another  also MENTION wants2 know y ur mad at her',no_anger
'MENTION WHATS THE VIDEO I CANT WATCH IT',anger
'MENTION That just doesnt sound appetizing',anger
'cooking with my dad  having lots of fun in the kitchen together',no_anger
'MENTION video tape that for me  hahaha',no_anger
'MENTION Im not a hobo',anger
'MENTION Lol  I could try  Seriously tho dont do all of it That sucks xx',anger
'Had a shower its 555 PM Triple 5s Crap it just turned 556',anger
'So lost  on my owm tryinh to find matter in the o2',no_anger
'Woke up and watched Jon and Kate plus eight I tried to pretend like they were still a normail family',no_anger
'cant go to bed  An am sooooo tired',no_anger
'He brings SOOO much joy Show it  great song  URL5z3oq URL',no_anger
'Im sure the 5 ppl who came in after me will be seen by a dentist before I will',anger
'My new car is already giving me problems  That cant be a good sign',anger
'Rain finally arriving drat Guess this means well have to picnic in the living room instead of at WolfTrap tonite',no_anger
'MENTION hey i loved ACS but i had to see it online is not here yet   cant wait to buy it you look amazing there',no_anger
'MENTION I hate June gloom I was getting so excited for the beach',anger
'MENTION Thanks for that',no_anger
'MENTION M Jizzle I need u to Hit me too ugghh Im sick of this damn phone Like seriously',anger
Confuzzled,anger
'Dear Allergies i hate you please go awaylove always your victim',anger
'Why is it soooo cold  ugly out',no_anger
'MENTION Oh wow youre fast   Hows life going  Its been 6 months ya  XD',no_anger
'Im gonna cryyy My car looked so good clean and its fuckin raining I always do thiswash it right before it rains',anger
'MENTION You know we dont believe half of what they say',anger
'John making me wear a mask and gloves at work cause Im sick Says he doesnt want to catch swine flu  URL',anger
'MENTION  dude i will check again but i couldnt find anything  haha i am capital FUCKED',anger
'Humidity is NOT my friend Just ask my hair',no_anger
'Yay for St Louis traffic',anger
'MENTION Same And big moths and wasps and just insects in general HAHA I hate them',anger
'MENTION really I hate the mobile twitterits hard to tweet with a sidekick',anger
'MENTION You dont get them anymore',no_anger
'Not happy got a big choice to make',no_anger
'whenever it rains its so hard to get motivated',no_anger
'who not here be glad ur sso luckyyyyyyy i hate u r home n r not enduring dis',anger
'MENTION hah well at least we are not saying tory is a fatty watty',anger
'MENTION that sucks',anger
'ugh nothing to do in the valley  Seriously gotta move out of here',anger
'MENTION dude come on at least rotate that motherfucker',anger
'MENTION Trickery  No just exasperation at seeing gay Pride hijacked by a politics bigger and uglier then anything its meant for',anger
'I knew there was a reason I hated cars 1 Too slow 2 Too big 3 I get car sick 4 Motorbikes are much much much more fun',anger
'cleaning cleaning cleaning today then working out  i love not working',anger
'Musem equaled FAIL hall of fucking life was closed cause of construction',anger
'sometimes i got tired dealing with my own dilemmas',anger
'via MENTION Christopher Moore You Suck  hmm tja sucks',anger
'a bedtime story pls',anger
'MENTION you might also want to include never wear a moonwolf to that',anger
'MENTION I know Yayy',no_anger
'misses her phone having no service sucks',anger
'MENTION me too i hate revision',anger
'MENTION are you on about BGT im not watching it tonight i cba  my mates where on it on tuesday  xx',anger
'MENTION i am so jealous',anger
'PrettyMess you missed all the free shots',no_anger
'I tried to dye my hair and all i got was a blond chunk in the front middle part of my hair Dang',anger
'i got locked out my carrrr  had to call a lock smith  3500',anger
'depressed my best friends pissed  me',anger
'My GCSE and A Level work is at least 50x better than my degree work Oh Uni what did you do to me',no_anger
'im going to sleepies feel poorlies and pissed off  night night tweeples xxx',anger
'Looking forward to the new week with the presentation of my book in a store in Dillingen today and some interesting sales seminars',no_anger
'People are peoplenooooo Id never have guessed thtidiotim grouchy now',anger
'sam and sean are teasing me saying they are gonna get wings without me',anger
'MENTION lets see we hate that groupies are damn near stalkers we love that they send gifts',anger
'MENTION omg are you going to see it another reason to not live in devon none of the fin cinemas have the film im so annoyed',anger
'MENTION you are a very naughty woman  we sooo have to meet',no_anger
'MENTION I am doing the same  I want to travel a little',no_anger
'his footy and getting krisnan inu back on the team   also twitter get rid of the ridiculous character limit',anger
'MENTION Im bored too  I have got NOTHING to do',no_anger
'i hate the biatches of this world',anger
'MENTION you make people drink petrol and set them on fire Your not the person i thought you were',anger
'trying to work',no_anger
'MENTION So you wouldnt reply to my gorgeous hot pink shoe then',no_anger
'MENTION really Awesome',no_anger
'MENTION how come i dont see more of u how come i dont see u at all is a better question lol that needs to change mister im sad',no_anger
'MENTION Oh yeah and a few will say she went too far and itll all end up putting her back on top where she belongs',anger
'MENTION yesbut now Im not going to be paid to be in the pub',no_anger
'I really hate revision',anger
'MENTION Had parent teacher thing yesterday So boring going to skl on saturday  lol',anger
'MENTION haha i am aware of how one contracts a UTI  and i have training for work at 845 tomorrow morning so i have to go to bed early',no_anger
'Ok so Im fuckin hungry  Im fat I knowI know Aha',anger
'Off to see the Doc in a bit to get the knee checked out',no_anger
'is wondering y Mother Nature is making my life miserable',no_anger
'god brera why is your plot twist going to fucking everything up i can feel it',anger
'Home from work A few hours of sleep then putting some miles on the new bike',no_anger
'writing the first ShowStoppers entry Just lost an hours work due to server issues',no_anger
'I got dropped froma coupla ppl that were following me  Damn Detroit Fans',no_anger
'MENTION saya yg reply',no_anger
'MENTION is making me hot chocolate with almond milk  Mother Day festivities is starting early',no_anger
'i feel like a princess  i love lingerie parties',no_anger
'The new resigned cricinfo  URL I hate change',anger
'i was kinda hoping this time it was going to be differnt its not it just sucks',anger
'Some idiot just crashed into me on his bike  Now my bike has a small dent in it and I have to buy a new set of pedals',anger
'blehhh i feel poopie i have a fever and my whole body hurtssss   FML',no_anger
'Stupid competition stuff keeps getting in the way  But I am going to get some words in today if it kills me MENTION',no_anger
'Sitting in traffic while my car gets rained on Just washed it on Sunday Doesnt the weather know this is California',anger
'Being in Vegas with MENTION would be so much better then home This has been the day from hell',anger
'My mouth hurts from this stupid retainer',anger
'MENTION Oh god what was that thing It scared me',no_anger
'MENTION I love this  our body should tell us how much sleep it needs and its always good to be mindful at mealtimes',no_anger
'Eating some ice cream cake  its bomb',no_anger
'reality needs to check in schools over time to party  not tonight tho im going to bed night night',no_anger
'My 100th post dedicated to Sarahsunny weatherand my love for that Snakes On A Plane Bring It song that should have died already',no_anger
'Borrowing my Moms Lenovo laptop The trackpad and the battery life suck balls for quarters Seriously missing my MacBook Pro',anger
'HelloIm back andIm drunk  and as much asI love my friendsI hate how they unintentionally make me feel inadequateIneedhelp',anger
'MENTION points at the gear question I just posted I cant get the rest of my Dreadweave set',anger
'has made up her mind',no_anger
'I really hate it when someone calls themself your friend BUT you only hear from them when they want something from you  friendfail',anger
'MENTION i was sent home yest from work when in again today but feel like hell and burning up with a high temp got it off hubby',anger
