@RELATION Twitter-Messages

@ATTRIBUTE text STRING
@ATTRIBUTE class {angry, disgust, happy, sad, surprise, nocode, not-relevant}

@DATA
'USER  USER Sunflowers, 1889. USER Now at London\'s USER URL””',nocode
'Amazing!!!! 😍🎨 USER URL',happy
'USER USER #AskTheGallery Pete and Dud have a few questions. URL The Leonardo cartoon is a hoot!',happy
'Absolutely loved #DefiningBeauty at USER So many treasures plus my peerless friend USER Roll on Shakespeare Roadtrip!',happy
'Nursery students getting very messy at USER today. Loads of fun! URL',happy
'Exhibition of the Week URL Jackson Pollock at USER USER URL',nocode
'Has any got reliable links on the history of the #beninbronzes USER USER #nigeria #RT',nocode
'#NG365 Jacob van Ruisdael\'s \"Two Watermills and an Open Sluice at Singraven\" USER #art USER URL',nocode
'New blog post #NewBlogger #museums USER  URL',nocode
'A very intresting insight into ancient Egypt USER exhibition Ancient Lives #8mummies',happy
'Perino del Vaga: drawing of Vertumnus &amp; Pomona from #Ovid\'s poem #Metamorphoses USER URL URL',nocode
'USER they arefrom about 500 BC and are now in the USER',nocode
'New Blog \"Finally made it to USER this week 🌀 ✨ #kettlesyard...\" URL , pebbles, interiors, kettlesyard',happy
'Not my current mood! I\'ve just had a glorious morning in the Print Room USER with Durer &amp; Rembrandt &amp; this! URL',happy
'Congratulations to our very own USER on receiving such a glowing report from USER URL #itsliverpool',happy
'Drawing twice in one week USER Feeling creative',happy
'Second phase of Cornwall s Tate St Ives steams ahead USER USER USER USER URL',nocode
'We\'re giving away 5 pairs of tickets to Jackson #Pollock: Blind Spots at USER URL  #art #Liverpool #win',nocode
'USER USER Stunning!',happy
'5 things: #Pollock USER opening URL',nocode
'Attending USER lecture on 18c gold boxes. Tangents: luxury - social ritual - possessions...smartwatches? URL',nocode
'USER Tweet your questions #AskTheGallery for our Q&amp;A with Director Nicholas Penny URL URL',nocode
'USER what time to meet on 5th July re tour around Gallery\'s neighbourhood please?',nocode
'See me speak at \'The London Open: Live\' event 30 July, 6.30pm at USER with USER USER URL',nocode
'\'Traditions in Contemporary Arab Culture\' 27 June - complement to July events USER  URL URL',nocode
'Stop the privatisation of services at the USER Sign the petition now: URL via USER',angry
'#AskTheGallery USER is there a painting or paintings you wished was part of the nationals collection?',nocode
'USER USER USER I must go and find out!',nocode
'USER :-) USER USER USER USER USER',not-relevant
'USER thank you for sharing!:  URL via USER',happy
'Project USER en URL ter bescherming Afrikaanse rotskunst URL Met database en crowdfunding',nocode
'USER How are you doing? I would like to show you this URL',nocode
'\'Jackson #Pollock: Blind Spots\' is USER from 30 June - 18 October! URL USER URL',happy
'Really pleased to be part of USER #CastleHill15 Come see the Cold War bunker &amp; the historic artefacts from Cambs we store there.',happy
'USER USER The trees have shadows on the far bank.',nocode
'USER I was introduced to the wonderful work of Canaletto on my 1st visit to your amazing gallery his paintings are breathtaking',happy
'Testing out the USER stamp for this summer\'s museum passport USER #SatM2015 URL',nocode
'Our curatorial trainee USER will re-launch the Baroque Galleries USER this we... URL via USER',not-relevant
'This #Goya was stolen from the USER in 1961, returned in 1965, and had a cameo in #JamesBond\'s Dr. No. URL',nocode
'USER USER USER - and will again... #austerity',sad
'USER USER looks like Paul Weller!',not-relevant
'I\'m on a train on my way south for a fun filled few days. USER USER woo hoo!',happy
'USER USER He read Machiavelli, and many more that Hitler followed similar policies or were inspired by Napoleon',nocode
'Finally made it and well worth it #Britishmuseum #Greek #sculpture USER URL',happy
'Making an impression: MARCUS AGRIPPA USER bookshop. Spotted by Karl Galinsky. USER USER URL',nocode
'The Top 5 Art shows 2C in London USER URL   USER USER USER USER',nocode
'Simon, myself &amp; our New Knight Piano, destined for the Edge Practice Rooms. Thank you Kath &amp; Simon Arnold. USER URL',happy
'Thanks to the wonderful artists who made us this fantastic lantern! #artseducation #DiscoveryDay USER URL',happy
'We are thrilled to have Neil MacGregor here from the USER talking about Germany: Memories of a Nation. Sponsor - USER',happy
'lindersterling\'s photo URL USER USER',nocode
'USER USER USER USER USER USER Els frisos del Partenó... Maremeua!',nocode
'Luke\'s USER friend USER Fudge USER URL',nocode
'Cool: USER putting 30,000 years, 25,000 digital images of African rock art online URL URL',happy
'USER USER USER USER  Friday, 19/06/15  Speke Hall Friday, 19/06/15  Speke Hall URL',nocode
'One of the most beautiful Places in London: USER URL',happy
'Our book \'Alfred Wallis Cornish Primitive Painter\' has 100 fabulous paintings USER USER URL',happy
'USER #wonderful :) URL',happy
'Can\'t wait to see Jackson #Pollock: Blind Spots USER w/ USER Sending all best wishes for the opening URL',happy
'Can you help USER raise £1 million by July 2015! Visit URL #artsfunding #retweet URL',nocode
'USER Hey :) Appreciate if u check out my first release. URL #electronicmusic #darkstars',not-relevant
'An article on USER research featuring USER  URL',nocode
'#LoveWins (from the USER URL',happy
'Join the #PCS USER protest tmrw in Trafalgar Sq from 5pm &amp; back the strikers who are out until 2 July URL',nocode
'Magic Carpet Storytelling USER Sun morning URL #kidsinmuseums #familydayout #weekend #whatson #london #art',nocode
'here for the second day in a row because you can never finish looking at the exhibits (at USER URL',happy
'USER USER I\'m on the science park if you want to grab a coffee!',not-relevant
'USER USER Gotthard #Schuh  Boys viewing Agnolo #Bronzino’s Allegory at USER 1937 URL',nocode
'#AskTheGallery USER Dear director, i really need to know... URL',nocode
'Here\'s a reliquary head of St Eustace from USER It had bits from 9 saints in there (allegedly)! URL',happy
'USER USER USER Duccio | Caro display open now USER URL URL',nocode
'Off to USER for #definingbeauty wanted to go for ages finishes next week',happy
'It\'s #MolluscMonday at USER Sea slugs by PH Gosse. More here: URL URL',nocode
'Summer at the Museums Gets Ready for Take Off! URL via USER',happy
'The Spark: week of free workshops on social justice/debt USER USER USER 20-26 July URL',nocode
'USER Care to share the story of \"Waterloo Teeth\"?',nocode
'Great article about the wonderful USER URL USER USER USER USER USER',happy
'Practising Artist required to run workshops USER URL Quote required. Deadline: Fri 26 June #artopps',nocode
'USER One of my best London memories, thank you 😀',happy
'. USER USER USER allezlesbleus URL',nocode
'USER I used this portrait to explain to staff about symbolism and art of knowing your client. The clues are all there! Love it',happy
'USER Incredible!',happy
'#Portrait of #WilhelmSasnal © by Gabriela Fulanty URL #photography #artwork #art USER URL',nocode
'USER It was correct.',nocode
'Farron Gorey selfies before his performance at Mbantua Festival, Alice Springs #IndigenousAustralia USER URL',nocode
'Strikers at USER -sponsored USER protest against #privatisation #kayaktivists #ShellNo USER URL',angry
'USER USER obviously! I\'ll come home next month for it. Yay',happy
'USER USER USER I won\'t be seeing the Goya. After 50 years of pictures NGL on my pariah list until Candy reinstated',angry
'USER USER #Waterloo200 So then: With communication being awful and battle fields open for even beer sellers: why did /',nocode
'#ff USER USER USER USER USER USER USER USER USER',nocode
'USER  USER opened at St Pancras #onthisday in 1998! Learn more about our shared history URL',nocode
'USER USER Beautifully Balanced #BeeArticle. I know of being stung while in trance. I swotted \'bees\' with Jackal\'s tail',nocode
'I\'m at USER in London, Greater London URL',nocode
'USER Enchanting mythologically inspired Renaissance jewellery! ~ \"WoW!\" I love the mermaid riding a seahorse &lt;3',happy
'USER Member\'s Preview of #JacksonPollock #BlindSpots yesterday at #TateLiverpool FANTASTIC exhibition - congratulations!',happy
'USER &amp; dancers have arrived USER Glad to have you in residence till Touch Diraies premier 9th July URL',happy
'Neil MacGregor USER delivering #QueensLecture USER today on \"Symbols of a Nation\": URL #QueenInGermany',nocode
'Visited the #SocialFabric exhibit today at USER So much culture and history in one room 🌿#MegaInspiration URL',happy
'USER Kids (and their parents) can discover Henry VIII \'s life and his fellow Francis I of France URL',nocode
'View from USER USER USER USER USER URL',nocode
'#JamesRichards install USER pairs Bacon’s Study for a Portrait W sounds of silence URL URL',nocode
'My kids have special names for USER . Mike the Knight Museum, Dinosaur Museum &amp; Museum of Cold Places #LoveMuseums #Cambridge',happy
'USER of England Edward I born #onthisday in 1239. amedieval seal from his reign URL URL',nocode
'Why Jackson #Pollock gave up painting... URL MUST: \'Blind Spots\' at USER 30 Jun-18 Oct URL',nocode
'USER Lessons in Death and Living USER reflects on relevance of paintings of death for us today URL',nocode
'USER USER They\'re so cute!',happy
'USER USER Gosh periscope is definitely on trend. High profile people using it and I have not even tried it yet.',surprise
'Breathtaking display USER but nothing makes me swoon like the Barberini Faun #DefiningBeauty URL',happy
'USER I forget the correct hashtag, but was about how the USER could move towards a better future in the digital age. Was cool!',happy
'USER USER Beautiful post!',happy
'The USER - a perfect haven on a rainy London Sunday',happy
'USER USER الله اكبر علي الليبين',nocode
'Blog post: #AsktheGallery how not to engage with an angry audience. USER brushes questions aside URL',angry
'The Astronomers of Babylon (explorable website) by USER URL URL',nocode
'USER USER USER Did Napoleon\'s uniform survive... &amp; if so, where is it now?',nocode
'Day 1 of filming today... I will be visiting USER USER USER and many more places! #vlog #day1',happy
'USER Great update! It\'s now featured on on URL URL',happy
'USER  \'　　,⌒ 、 ＿／/＿_\＼＿ \'乛彡ㅎ_ㅎ 乛 ,,= 乀_-丿=,、 ／/ \＼^　\＼ ＼二:\ ＼:)/／ 　/\' ／^＼ \ （／\ ｜ /＼) .　/二｜二\ 　　_|｜|_ 　（＿/\＿) #Waterloo200',nocode
'Take a virtual tour of 18 rooms at the USER URL #museos',nocode
'USER USER 💘💘💘',not-relevant
'Exhibition sounds fab - #photographs #indigenous #Siberia #Mongolia USER #sensory #relational #knowledge URL',happy
'More on Napoleon by USER at the USER tonight at 6.30pm USER USER URL',nocode
'USER yes please! Saw his show USER years ago.',happy
'Wimbledon join USER and the USER in the list of destinations that are clamping down on selfie sticks URL',nocode
'USER to take part in Subject Taster Week in Sept for post 16 students URL URL',nocode
'USER USER USER USER USER',nocode
'#donottouch USER (not the real one - promise!) URL',happy
'USER does it mean the USER justifies Elgin\'s theft as he was protecting the #Sculptures from the Ottomans occupation of #GR?',nocode
'USER USER thanks Bobby. I\'m heading to London in a couple of weeks - I\'ll take a look. ELC',happy
'#DefiningBeauty at USER looks at how ancient Greeks used human body as object of beauty &amp; bearer of meaning URL',nocode
'USER Omg, he looks totally like Al Pacino! URL  USER',surprise
'USER USER USER USER USER USER USER USER  URL',not-relevant
'Are the Rothschild bronzes by #Michelangelo USER is holding a conference to find out URL URL',nocode
'BAM construction wins contract to extend and refurbish Tate St Ives  URL USER #StIves... URL',nocode
'We hope that Y12 history of art pupils enjoy their visit to USER today',happy
'USER Thank you very much!',happy
'USER If you studied the OU\'s Introduction to Humanities, you\'ll know this painting well',nocode
'Researcher USER discussed 3D imaging cultural heritage on our #engineering pod URL USER USER',nocode
'USER USER USER  I picture it waiting to be rescued from an ancient attic....thank you!',happy
'USER USER tx',nocode
'I just told USER USER USER &amp; USER to #DropBP Sponsorship. Join me: URL',angry
'USER USER la prossima volta? 😭😭😭😭 alla fine i libri fanno male??dove lo trovo un jamie??nemmeno uno vagamente simile....',nocode
'War, by Henri Rousseau 1891 Oil on Canvas  USER URL',nocode
'St Botolph\'s Priory, remains of Tudor #Colchester  USER Henry VIII was crowned king #onthisday in 1509.\" URL',nocode
'USER USER The shit of kings frightened by Napoleon.',nocode
'USER thank you for a fascinating scope',happy
'USER interesting #periscope broadcast with USER - but landscape format very difficult to view on phones - please amend',happy
'Pretty cool #curator up right now at the Polar Museum in Cambridge USER URL (pun semi-intended...)',happy
'I\'ve won two free tickets to the private viewing of the Jackson Pollock exhibition USER can\'t wait!!!!! 😊',happy
'Who\'s going to the Jackson Pollock PV USER tonight? Great USER piece on why he gave up painting: URL',happy
'USER Состояние - фантастика, 14-й век !!!',not-relevant
'QT USER New on the blog: Richard Parkinson discusses sexual identity #Pride2015 URL URL”',nocode
'Now for the keynote of the Piero della Francesca conference, by James R. Banker USER USER',nocode
'It\'s a great day to #AskTheGallery with both USER &amp; USER opening their Twitter doors for live questions&gt; URL',happy
'USER USER USER If open &amp; I was in London I would have a nose at URL or always USER',nocode
'USER USER real sisters',not-relevant
'USER We won\'t stop til USER dumps #BP. Fill in a feedback form when you\'re there &amp; watch this space: URL',angry
'USER hurry up and email us your contact number &amp; age for a chat! Time is running out...! E: claire.gellar USER Pls RT!',not-relevant
'USER Here #Buddha cutting his hair in renunciation #Gandhara USER URL',nocode
'All I can say is WOW - USER Your groundbreaking #8mummies exhibition is fantastic URL',happy
'Save the date for Artist Talk: Svend Bayer USER URL Tues 14 July, 1.10pm',nocode
'Really enjoyed the #GlennLigon talk USER earlier today. His exhibition is truly stimulating!',happy
'Currently USER to discuss #DefeatingDepression with USER Should be interesting.',nocode
'USER USER USER these are so beautiful! #GaudierBrzeska',happy
'A great USER exhibit is the Lewis Chessmen.Terrific artistry - want to pick up a replica &amp; learn the game! URL',happy
'USER   Statue of Poseidon - National Museum Athens',nocode
'USER students are a joy to be spending a day with USER #stockleyart URL',happy
'USER Is he holding an orange? Someone had better watch out!',surprise
'Get ready for USER the Artists Present w/ Beatrice Gibson+ Sarah Turner USER URL URL',nocode
'Supercool USER !! You seriously rock :D',happy
'Frames in Focus: Sansovino Frames ... and so much more at the National Gallery #London USER',nocode
'The Emperor #Napoleon in His Study at the Tuileries, (1812), Painted by #Jacques_Louis_David USER of #Art URL',nocode
'USER Top 5 Art Shows to 2C in London this week URL USER USER URL',nocode
'It would have been great to see that material approached using queer theory. USER USER',sad
'Je ne savais pas qu’il existait une version précédente à celle USER et surtout si différente. USER USER #Manet',nocode
'Blind Spots, #Pollock black paintings USER sounds fascinating, hope I can make the journey north USER URL',happy
'Practising Artist required to run workshops USER URL Quote required. Deadline: Fri 26 June #artopps',nocode
'From The Tomb Of #Nebamun — 1350 BC | #Egyptology #Archaeology #AncientEgypt USER URL',nocode
'USER UNESCO  VENETO -THE OPERA collection, per cambiare la storia del Mondo, URL',nocode
'USER USER a much welcomed change.',happy
'USER triennial London Open celebrates creativity across the capital 15 July URL URL',nocode
'USER #AskTheGallery Why do you appear to support privatisation? Why don\'t you value your staff more and support them?',angry
'#QueenVictoria\'s Jubilee Souvenir Badge USER URL',nocode
'The Ratzingeriana is out! URL Stories via USER USER',happy
'USER FABulous :-)',happy
'Thanks USER for lovely review! USER  URL',happy
'USER in Italian \"Still Life\" is \"Natura  Morta\"= \"Dead Nature,\"while they are more alive than ever....',nocode
'USER collection in excellent company USER - thanks to all involved. USER USER URL',happy
'USER USER ooh sounds good!',happy
'USER The 2rd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland',not-relevant
'Rosalba Carriera\'s Portrait has also retained its original Venetian 18th century frame USER URL',nocode
'#musicalinstruments in art. Johannes Vermeer 1632-1675 A Lady seated at a Virginal USER #genre #oil URL',nocode
'Discount_Rayban_19,Online_31 URL URL USER USER USER USER',nocode
'Thresholds poet USER USER Sean Borodale\'s Bee Journal R3 listen again : URL”',nocode
'Tomorrow at #cheltlitfest USER talks about USER exhibition on Ming dynasty URL URL',nocode
'USER USER USER In the garden, yes!  But not in the gallery. How will I restrain myself from patting #Tides 1946 ?',happy
'USER w/ USER &amp; zada_beda feeling like 21st Century is underperforming &amp; not sure… URL',sad
'Link URL por USER es el tuit más popular en mis \'news feed\' de hoy',nocode
'USER I look forward to congratulating you in person :-) USER USER USER USER USER',happy
'USER Nicholas Penny, how does it feel to get a knighthood?!',nocode
'USER One of my favourite paintings!',happy
'#painting #inprogress #GerardDavid USER #oil so much Thursday fun! URL',happy
'USER USER USER Thank you, John!',happy
'USER USER USER Had a personal tour, no less... ;)',happy
'Thanks for an inspiring day + warm welcome USER USER USER USER',happy
'#FF follow Friday! USER USER USER USER USER',nocode
'A ‘sparkling show’ of Turner, Singer Sargent, Cézanne watercolours USER Cambridge URL URL',happy
'USER When will you reinstate Candy Udwin? #AskTheGallery',nocode
'USER USER We should share this with DAN BAIRD ~ GOTHIC ARTIST this drawing is by artist SALVATOR ROSA born 1615 ~ ETCHING!',happy
'USER USER NOTHING  CHANGED \% NON È CAMBIATO NULLA \% НИЧЕГО НЕ ИЗМЕНИЛОСЬ (((((( NO HA CAMBIADO NADA',nocode
USER,not-relevant
'Relics and experiments at Barbara Hepworth\'s studio in St Ives USER #artiststudio # cornwall #scupture URL',nocode
'USER What a beauty! #Baroque',happy
'USER USER USER Approximately 25\% less than he/she once \"urned\"\" Precisely!',nocode
'ATTN: Museum of stolen property. Hand back our culture. USER URL #SOSBLAKAUSTRALIA #NOconsent',angry
'Strikers at USER -sponsored USER protest against #privatisation #kayaktivists #ShellNo USER URL',angry
'USER USER Hi, from the USER queue. URL',nocode
'USER USER never heard of it , next time i\'m in uk will happy to visit:)',happy
'Sunset in the Auvergne, by Théodore Rousseau.  Thought to be completed 1844   USER URL',nocode
'USER great to hear her talk about the event. I definitely left with a \'feeling of madness\' #materialhistories',happy
'So pleased our fav artist Richard Long wins USER award, incredible body of work in \'Time and Space\' URL',happy
'The chorus of USER USER URL',nocode
'Great afternoon at USER #DefiningBeauty exhibition with USER and USER :)',happy
'Rock art can be helpful in learning about different ways in which camels were used in 1st mill CE URL USER',nocode
'USER USER USER Hi, is it possible to make it clear that the Baroque Galleries open to public Fri June 19? Thanks!',nocode
'USER USER Great news, I\'ve been taping the series and listening to BBC4 as well - fascinating and informative, many thanks!',happy
'USER 😢 URL',nocode
'USER Born #onthisday in 1898: artist M C Escher, representation of Tower of Babel URL URL”',nocode
'Volunteers needed for ARTIST ROOMS: Gerhard Richter USER URL Deadline: Thurs 3 Sept #artopps',not-relevant
'USER So much teeth problems un ancient Egypt!!! 😁',surprise
'USER USER This is a real treat, full of inspiration from the USER Curious Beasts URL',happy
'Thrilled to listen to erudite Neil MacGregor from USER talking about Germany USER URL',happy
'USER speaking at the USER is pretty exciting / daunting... Still trying to decide whether to bring my Mummy or not! 😉',happy
'USER by Nicholas Hilliard?',nocode
'What lies beneath: drapery and the suggested form USER  URL',nocode
'Director USER Nicholas Penny is hosting twitter Q&amp;A on Tue 16th June 10.30am-11.30am #AskTheGallery info: URL',not-relevant
'USER Thanks, good article USER USER #BertheMorisot\'s dau #JulieManet\'s diary re her family URL',happy
'Also enjoyed James Richards speaker-bombarding Francis Bacon with soundscape USER URL',happy
'From The Tomb Of #Nebamun — 1350 BC | #Egyptology #Archaeology #AncientEgypt USER URL',nocode
'USER Please follow contemporary conceptual paintings USER 2005 Visitor artist USER URL',nocode
'Will someone take me to see the mummies at the USER please please please??? 🙏🏼',happy
'Whale move again URL via USER USER USER USER #raisethewhale',nocode
'Engaging work from USER at USER #photography #art #wellcometrust URL',happy
'Morning folks! Last week left for 13-18 year olds to win 2 free tix to Defining Beauty at USER Go to our Facebook page for info',nocode
'Being good at hunting pays off. King kisses Tristram as a reward USER #pride #Pride2015 #PrideinLondon URL',happy
'A good idea to refresh the perception of the USER collection or a modish attempt at trendiness? URL',nocode
'USER #markgodfrey speaking to the #cca #rca students at USER this morning #christopherwilliams URL',nocode
'The 2 things that most moved Angela Merkel at the USER Germany show: Luther\'s Bible &amp; the model of the Friedrichstrasse station.',nocode
'USER USER Two Britons held over Auschwitz theft URL',not-relevant
'USER This is one of my favourite paintings at the National Gallery, I know where it\'s hung. Beautiful!',happy
'Today, find us at Castle Hill Open Day 2015 USER at the Methodist Church. #CastleHill15   Serving 12-4. URL',nocode
'USER that was a marvelous USER broadcast on Napoleon just now. Great use of this new service.',happy
'These two men in USER from Jebel Sahaba died 13,000 years ago, their bodies riddled with arrows. URL',nocode
'USER USER at what time?',not-relevant
'Find out how USER USER worked with #camhs FRESH with Tate Collective Liverpool | Circuit URL',nocode
'I\'m at USER in London, Greater London URL',nocode
'USER do you think that Napoleon lost because of Russian campain or Waterloo?',nocode
'USER thank you for following me back. Well done for gathering such an interesting panel for #DefeatingDepression USER',happy
'The exquisite #Waddesdon Bequest USER is absolutely exceptional. Not to be missed. &amp; it\'s free! #museumhour URL',happy
'Had a wonderful time USER with USER Thank you for having me! USER URL',happy
'PLUS:) WILL MAKE RAINS in CALIFORNIA please CLEAN yours STREET  DRAINERS  AVOID FLOODS my HONEY$ HASKELL ART USER  THANK YOU RT',not-relevant
'USER Hi there! We\'ve just created this guide of #Liverpool and mentioned you. URL',nocode
'USER #lovely',happy
'Link URL por USER es el tuit más popular en mis \'news feed\' de hoy',not-relevant
'Plaga de orientales. (at USER in London, Greater London) URL',nocode
'The Ligon/Pollock exhibition  USER that opened today is one of the best in ages. Glenn  Ligon also seems such a nice guy #pollock',happy
'Book for Making &amp; Promoting British Art USER URL Tues 23 June, 1.10pm, £2',nocode
'USER He looks so happy......not.',nocode
'USER USER # I #LOVE The National Gallery!',happy
'USER brought son to see Stubbs - v disappointed by room closures re strike action- why close the most popular rooms?',sad
'The Alchemist by Pieter Bruegel the Elder  #art for #StrangeandNorrell in USER URL',nocode
'USER USER interesting variety',happy
'Delicious Dorset crab with avocado and gazpacho @ the beautiful USER with USER #gailsmithflowers URL',happy
USER,not-relevant
'Looking forward to our public engagement event #DefeatDepression USER USER this evening URL',happy
'USER USER Greatest car park attendant this country has ever seen.',happy
'At USER listening to USER Ebb &amp; Flow summer with USER &amp; Gerald URL',nocode
'Early morning viewing of Defining Beauty at USER quite the inspiration for the rest of the day. What a complete treat.',happy
'USER placing the trees on a diagonal axis, Rousseau conveys a sense of the wind URL\" For you, USER',nocode
'USER USER something from ancient Egypt ?',nocode
'Enjoying the afternoon at USER #artheals',happy
'\'I prefer #art to fast cars\': fund manager helps British Museum buy Picasso works URL USER #Picasso',nocode
'USER USER look forward to visiting this week. #art #Cambridge',happy
'Frames can be works of art on their own. Visit our free #SansovinoFrames exhibition http:... URL via USER',happy
'I\'m introducing USER Director Neil MacGregor-Germany:Memories of a Nation at #cheltlitfest tomorrow URL Come!',happy
'#DefiningBeauty USER finally visited the exhibition before it closed next week.. Well worth the trip to London. A brilliant time.',happy
'I\'m at USER in London, Greater London URL',nocode
'USER USER I have turned the exposure up on this painting to enable easier viewing. #TooDark URL',nocode
'¿Como se ve la serpiente mexica de dos cabezas a colores? En el USER nos enseñan URL URL',nocode
'If you haven\'t seen the Christopher Williams show USER it finishes this Sunday. Go. Really, go. GO. URL',happy
'Sad, but amazing and exciting things will be happening to USER ! URL',happy
'USER USER USER USER he donated it to somebody, as i recall vaguely now',nocode
'USER USER Portraiture is so fascinating...love all these hidden meanings! Thanks for the info!',happy
'USER Weekend getting better &amp; better, #GrantSimonRogers taking #DailyGuidedTour #Entertaining &amp; #Engaging with his group.',happy
'{ USER }, #art #London #ttot #lp #vacation #trip #photography #photo #Travel #travelpics URL',nocode
'USER USER USER USER USER USER USER USER USER thank you 😊',happy
'USER thank you for the RT, following you back, great to see USER represented at #DefeatingDepression USER',happy
'After this weekend USER the \'Louvre of the pebble\', closes for 2 years. Go visit while you have the chance! URL',nocode
'USER What did they do with all the tourists?',nocode
'Don\'s miss the #events showcase at USER on 1 July URL #eventprofsuk #London',nocode
'Muse, adult art group enjoy Watercolour painting inspired by visit Ruskin\'s Turner and Elements of Nature shows. USER USER',nocode
'A rare delight to be in the USER when it is so quiet and the light of a summer\'s evening is so splendid URL',happy
'USER USER USER yes i met her. We were tlkg abt the amazing number of visitors they got for USER',happy
'Great Baramundi fish USER with Clive Loveless. Aboriginal art having a moment with USER show URL',happy
'USER USER Ma­es­to­so.',nocode
'Für alle Väter unter uns. #FathersDay USER URL URL',nocode
'This is our final weekend before a 2 year closure to complete our building project. After Sunday we will be in other places USER',nocode
'USER I\'ve been making some like-paintings photos. Pls, exibition would be possible? URL',not-relevant
'British Museum: Abstract art: ornaments and aesthetics in Bronze Age Britain and Ireland USER URL',nocode
'USER The 2nd GENOCIDE against #Biafrans ,3days of unreported aerial Bombardment in CrossRiver #Biafraland URL',not-relevant
'Watch a short of Piero della Francesca’s The Baptism of Christ — now at 11.20:49 CET #ikonotv USER URL',nocode
'Looking forward to #soundscapes USER - \'hear\' the paintings, \'see\' the sounds: how intriguingly enticing! URL',happy
'Lo viste? El tuit más popular de hoy entre las personas que sigo URL por USER',nocode
'St Ives Cornwall News is out! URL Stories via USER',happy
'USER That is a fascinating bit of art history. Thanks! I LOVE Albrecht Durer\'s art. Gloria Poole,RN,artist, Missouri',happy
'St Conall Cael\'s Bell &amp; Shrine 6century Shrine 10 century @ Donegal County Museum on loan from USER URL',nocode
'“Every good painter paints what he is.” Jackson #Pollock coming soon USER  URL URL',nocode
'a chance to see USER artists (friends of ours) #sarahturner  URL USER',nocode
'USER #AskTheGallery #noprivatisation URL #ReinstateCandy URL',angry
'Search for your \'Treasured Possession\' USER ; a museum with more treasures than you could imagine 🎎🎏🎭🗿📚📯🚋🏆 URL',happy
'USER thanks. Like you say, you have to have a go :-) USER',happy
'And discussed further by USER Darren Pih, here: URL Richard Hawkins: #HijikataTwist',nocode
'Spectacular gems and Renaisance jewellery at the new Waddesdon Bequest gallery USER . Go admire! URL',happy
'\'Bonaparte\'s interview with the astronomer at Milan\', c. 1800 USER #Waterloo200 URL URL',nocode
'Starting my sister\'s hen do USER was an excellent idea. V friendly security guards.  URL',happy
'USER We have a #WarMemorial workshop coming up in your area! Please help us save our War Memorials! URL',nocode
'USER USER USER   I\'m intrigued by the portraits and text on the walls of this picture &amp; the lady with the beans?',happy
'USER USER # I Love The National Gallery! #Beautiful!',happy
'Visit Giovanni di Paolo\'s four #BapistPredella panels USER including Birth of John the Baptist, 1454 : URL',nocode
'Painter #JackSmith was #bornthisday in 1928 USER USER URL',nocode
'USER USER USER I\'m not sadly, at a session in USER run by USER about older people in museums :)',happy
'Cambridge\'s world famous USER closes for two years for major redevelopment URL',nocode
'In London today visiting USER USER USER Obligatory Great Court shot... URL',happy
'USER USER USER Wow great to see it!! Hope to get new app up soon! ; )',happy
'#FF USER USER USER USER USER USER',nocode
'Exquisite works by #painter Paul Rubens presented by USER  URL',happy
'USER 🛀🍞☕️📲🏢',nocode
'What a bustling wind\'r blowing in this amzing painting. Your senses almost feel the sea air USER #paint URL',happy
'I am now a proud member of USER if I could only work put how to book a ticket as a member ;0) USER USER USER',happy
'Thank you USER USER The first show USER saw 178 paintings being displayed! Several of them are known today',happy
'From The Tomb Of #Nebamun — 1350 BC | #Egyptology #Archaeology #AncientEgypt USER URL',nocode
'A real must-see USER \'Defining Beauty: The Body in Ancient Greek Art\' #London #art URL URL',happy
'Top story: USER \'How tall was Napoleon? Did he say \'not tonight Jose… URL see more URL',nocode
'BAME applicants esp welcome for 1 year cultural traineeship USER  Deadline 30 June USER URL',not-relevant
'USER USER USER URL \"Yes it\'s real &amp; not man made\"  Discovered in 2012',nocode
'USER a greave?',nocode
'USER URL\" Incredible jewels at the USER \'s new gallery.',happy
'USER USER I will.',nocode
'Aunt Fanny says there\'s a simply wizard Enid Blyton exhibition coming to USER URL URL',nocode
'30 великих художников из собрания Лондонской USER ждут пока вы узнаете что-то новое о них. URL',nocode
'What lies beneath: drapery and the suggested form URL via USER',nocode
'USER “ #BobandRoberta: I am angry more artists that have a profile are not speaking up #foundationcourses. URL”',angry
'The body as beauty and bearer of meaning - Last few days of Defining Beauty, The Body in Ancient Greek Art exh USER - ends 5 Jul',nocode
'Glowing 5 stars for USER - Jackson Pollock review – this is art as nervous breakdown ... and it\'s majestic URL',happy
'USER USER USER USER USER USER USER USER USER USER',nocode
'That\'s a cool #statistic! Well done USER  URL',happy
'So tired after USER sleepover. No seats on train from London to Nottingham either! Didgeridoo man\'s dreamtime tales were great!',happy
'What to do this weekend? Try #ChristopherWilliams staged photographs USER URL URL',nocode
'USER final chance 30\% off framed art - ends midnight tonight! 🌞 Enter SUNSHINE code 🌞  URL',nocode
'USER “ #BobandRoberta: I am angry more artists that have a profile are not speaking up! #foundationcourses. URL”',angry
'reconnecting Mongolian &amp; Siberian people with their history: new exhibition River Stars Reindeer USER URL',nocode
'250 000 mennesker så Balkes «Vardøhus Festning» i London. Nå er bildet tilbake i Bergen: URL USER USER',nocode
